job_title,description,salary,location
Paid Media Specialist,"Google Ads,Meta Ads,Campaign Optimization,Lead Generation,Conversion Tracking,GA4,Looker Studio,Competitor Research,Call Tracking,AI Tools,Data Analysis,Performance Reporting,Paid Social,Digital Marketing,Communication,English",105000,All cities
ML/Data Engineer,"Python,Java,Scala,SQL,Apache Spark,Hadoop,Kafka,ElasticSearch,AWS,EC2,RDS,EMR,Redshift,Kinesis,DynamoDB,Cassandra,MySQL,PostgreSQL,Deep Learning,NLP,CNN,Machine Learning,Data Pipelines,ETL/ELT,Data Lake,Data Warehousing,Jupyter Notebooks,Big Data,IoT Data,Stream Processing,Communication",160000,Lahore
Front-End Developer,"HTML5,CSS3,SCSS,SASS,Bootstrap,JavaScript,jQuery,Angular,Material UI,Git,Adobe XD,Wireframes,W3C Standards,Responsive Design,Cross-functional Collaboration,Communication",75000,Lahore
Front-End Developer,"HTML5,CSS3,JavaScript,jQuery,Responsive Design,Adaptive Design,Adobe Illustrator,SEO,UI/UX Design,Performance Optimization,Cross-browser Compatibility,Communication,Problem Solving",70000,Lahore
Software Developer,"Java,.NET,JavaScript,HTML,CSS,Microsoft Office,IoT,Azure,Hardware,Software,Reporting,Communication,Problem Solving,Teamwork,Multitasking",55000,Lahore
Front-End Developer,"HTML5,CSS3,Bootstrap,JavaScript,jQuery,Figma,Responsive Design,Pixel-perfect Design,Cross-browser Compatibility,Clean Code",50000,Faisalabad
Front-End Developer,"HTML5,CSS3,JavaScript,jQuery,Bootstrap,Ionic,AJAX,Responsive Design,UI/UX Design,Adobe,Cross-browser Compatibility,Accessibility,Git,Usability Principles,Communication",65000,Karachi
SQL Developer,"SQL,Unix,Linux,Windows,HTML,CSS,JavaScript,Complex Queries,Problem Solving,IDE,Programming",65000,Karachi
Python Developer,"Python,Django,Flask,JavaScript,TypeScript,Angular,HTML5,CSS3,Git,Docker,SQL,Database Design,REST APIs,Multi-threading,Event-driven Programming,Socket Programming,Unit Testing,Debugging,Machine Learning,Deep Learning,Security,Communication,Collaboration",90000,All cities
Back-End Developer,"Node.js,Python,PHP,SQL,Database Management,REST APIs,Server-side Logic,Data Migration,Data Security,OWASP,Session Management,Git,Unit Testing,Automated Testing,Scripting,Application Scaling,Performance Optimization,Debugging,Communication",80000,Lahore
Back-End Developer,"Git,OWASP,Session Management,Data Migration,Scripting,Database Management,Unit Testing,Automated Testing,Data Security,Performance Optimization,Debugging,Application Scaling",80000,Lahore
Senior Front-End Developer,"HTML5,CSS3,SCSS,SASS,Bootstrap,JavaScript,jQuery,WordPress,SEO,Responsive Design,Cross-browser Compatibility,W3C Standards,Accessibility,Git,Adobe Photoshop,Figma,Angular,React,Performance Optimization",120000,Lahore
Senior Front-End Developer,"Next.js,React.js,TypeScript,Strapi,Tailwind CSS,HTML5,CSS3,SCSS,JavaScript,GSAP,WebGL,Three.js,AJAX,REST API,GraphQL,Git,SEO,Responsive Design,Performance Optimization,Communication",200000,Islamabad
Front-End Developer,"WordPress,PHP,jQuery,JavaScript,Elementor,WPBakery,Visual Composer,Photoshop,HTML,CSS,Responsive Design",37500,Faisalabad
Front-End Software Engineer,"HTML,CSS,JavaScript,React,Vue.js,Next.js,Angular,Responsive Design,UI/UX,Git,API Integration,Cross-browser Compatibility,Performance Optimization,Communication,Problem Solving",90000,Islamabad
Front-End Developer,"HTML,CSS,JavaScript,React,Angular,Vue.js,Git,REST APIs,Bootstrap,Tailwind CSS,UI/UX,Responsive Design,Cross-browser Compatibility,SEO,Agile,Scrum,Problem Solving",65000,Karachi
Application Development Analyst,"JavaScript,HTML,CSS,Python,REST APIs,JSON,Git,GitHub,HubSpot,Quickbase,Frappe,AJAX,jQuery,SaaS,System Integration,Workflow Automation,Authentication,Debugging,Communication,Problem Solving,Collaboration",160000,Lahore
Front-End Developer,"JavaScript,TypeScript,HTML5,CSS3,Angular,DevExtreme,Web APIs,HTTP,REST APIs,ASP.NET,Git,Debugging,Documentation,Problem Solving,Communication",85000,Karachi
Junior Software Engineer,"C,C++,Java,Python,XSLT,XSD,XML,Object-oriented Programming,Data Structures,Algorithms,Analytical Thinking,Communication",65000,All cities
Junior Software Engineer,"OOP,Software Design Patterns,Ruby,Java,.NET,PHP,Python,MySQL,HTML,CSS,JavaScript,SVN,Git,Unit Testing,Communication",65000,Lahore
Software Engineering Intern,"Data Structures,Algorithms,OOP,MVC,Design Patterns,Unit Testing,Integration Testing,Agile,Continuous Integration,API Design,Communication",30000,Lahore
Software Engineer,"Python,GoLang,JavaScript,TypeScript,Java,REST APIs,Database Design,System Design,Web Applications,Dashboard Development,API Integration,Workflow Automation,Code Review,Documentation,Communication",150000,Islamabad
Software Tester,"Manual Testing,Automation Testing,API Testing,Analytical Thinking,Problem Solving,Communication,Presentation",40000,Hyderabad
Fresh Graduate CS,"VOIP,SIP,RTP,TCP/IP,DNS,VPN,Firewalls,Network Monitoring,Troubleshooting,Technical Support,Documentation,Analytical Thinking,Communication",32500,Lahore
Software Engineer,"PHP,Node.js,Python,Ruby,Django,MySQL,PostgreSQL,NoSQL,REST APIs,Data Structures,Algorithms,Software Design,Communication,Teamwork",75000,Lahore
Software Engineer,"OOP,C#,.NET,Java,SQL,Relational Databases,Debugging,Code Review,Documentation,Problem Solving,Logical Reasoning,Teamwork",55000,Rawalpindi
Software Engineer,"OOP,Software Design Patterns,Ruby on Rails,Java,Spring,.NET,Django,MySQL,SQL Server,MongoDB,Cassandra,HTML,CSS,JavaScript,SVN,Git,Linux,Agile,Unit Testing,Communication",80000,Lahore
Software Engineer,"TypeScript,JavaScript,Python,Go,Java,React,Next.js,Vue,Svelte,REST APIs,GraphQL,WebSockets,Event-driven Architecture,SQL,NoSQL,CI/CD,TDD,Cloud,Application Security,Real-time Data,Data Pipelines,Communication,Collaboration",250000,All cities
Full Stack Developer,"MongoDB,Express.js,React.js,Node.js,REST APIs,JWT,OAuth,AWS S3,Vercel,Git,GitHub,JavaScript,UI/UX,Responsive Design,Agile,Communication",65000,All cities
MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,Next.js,Redux Toolkit,TypeScript,JavaScript,HTML5,CSS3,Tailwind CSS,ShadCN,JWT,OAuth,PostgreSQL,Supabase,Git,GitHub,CI/CD,Vercel,AWS,Prompt Engineering,RAG,Vector Databases,WebSockets,Agile,Communication",55000,Lahore
Jr. MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,JavaScript,TypeScript,HTML5,CSS3,Redux,Axios,JWT,OAuth,DynamoDB,Git,Agile,AWS,Amplify,Problem Solving,Communication",52500,Lahore
Full Stack MERN Developer,"React.js,Next.js,Node.js,Express.js,TypeScript,JavaScript,HTML,CSS,Tailwind CSS,PostgreSQL,REST APIs,Clerk,Sequelize,Sentry,Git,Communication",100000,Karachi
Full Stack Developer,"React.js,Next.js,Node.js,Express.js,MongoDB,PostgreSQL,Redux Toolkit,Tailwind CSS,REST APIs,JWT,Git,Vercel,DigitalOcean,WebSockets,IndexedDB,WhatsApp API,Communication,Problem Solving",57500,Karachi
MERN Stack Developer,"React.js,Next.js,Node.js,NestJS,MongoDB,TypeScript,JavaScript,REST APIs,GraphQL,Docker,AWS,GCP,Azure,CI/CD,Authentication,Authorization,Code Review,Communication",120000,Lahore
MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,JavaScript,Redux,Context API,Mongoose,REST APIs,JWT,Git,HTML,CSS,Tailwind CSS,Bootstrap,Vercel,AWS,Problem Solving",105000,Lahore
MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,JavaScript,HTML,CSS,SQL Server,Git,Vue.js,Next.js,Azure,AWS,Agile,Unit Testing,Communication,Problem Solving",50000,Lahore
Full Stack Developer,"JavaScript,Python,MERN,React.js,Node.js,REST APIs,OpenAI API,Hugging Face,AWS,TensorFlow,PyTorch,Scikit-learn,Documentation,Agile,Communication,Problem Solving",240000,Lahore
Full Stack Developer,"HTML,CSS,JavaScript,TypeScript,React.js,Next.js,Node.js,Express.js,NestJS,MongoDB,PostgreSQL,MySQL,Redux,Context API,JWT,OAuth,WebSockets,Tailwind CSS,Bootstrap,Material UI,Git,Communication",47500,Lahore
MERN Stack Developer,"React.js,TypeScript,MongoDB,Node.js,Express.js,GraphQL,Web3,Gatsby,Vue.js,Git,Communication,Multitasking",100000,Faisalabad
MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,REST APIs,JavaScript,HTML,CSS,Schema Design,Query Optimization,Code Review,Testing,Communication",75000,Lahore
Full Stack MERN Developer,"MongoDB,Express.js,React.js,Node.js,JavaScript,REST APIs,Relational Databases,Non-relational Databases,Debugging,Deployment,Problem Solving,Analytical Thinking,Team Leadership",120000,Lahore
MERN Stack Developer,"MongoDB,Express.js,React.js,Node.js,JavaScript,HTML,CSS,REST APIs,Docker,AWS,GCP,OpenAI API,LangChain,LangGraph,Flowise,n8n,Git,React Native,Flutter,Communication,Problem Solving",116667,Karachi
Digital Marketing Specialist,"WordPress,Jira,Email Marketing,SMS Marketing,Google Workspace,Mobile App Management,Project Management,Campaign Management,Performance Analytics,Client Onboarding,SEO,Communication,Relationship Management",100000,Karachi
Digital Marketing Specialist,"Facebook Ads,Google Ads,Instagram Ads,SEO,Google Search Console,Ahrefs,YouTube Optimization,Social Media Management,Campaign Management,Performance Reporting,Content Creation,Communication",57500,Islamabad
Digital Marketing Specialist,"SEO,SEM,SMM,Google Ads,Facebook Ads,Google Analytics,Google Search Console,WordPress,HTML,CSS,Link Building,Content Marketing,Social Media Optimization,Keyword Research,Communication",45000,Hyderabad
Marketing Specialist,"Google Ads,Google Analytics,SEO,Social Media Marketing,Digital Marketing Automation,Content Creation,Campaign Management,Performance Reporting,Communication,Problem Solving,Time Management",80000,Lahore
Digital Marketing Intern,"Instagram,TikTok,Reels,CapCut,Canva,Content Creation,Copywriting,Influencer Outreach,Ecommerce Marketing,Social Media Management,AI Tools,Communication",30000,Islamabad
Digital Marketing Specialist,"Meta Ads,Facebook Ads,Instagram Ads,Google Analytics,Google Tag Manager,Meta Pixel,Meta Business Manager,Keyword Research,Audience Targeting,Campaign Optimization,Performance Reporting,Copywriting",70000,Karachi
Digital Marketing Specialist,"SEO,SEM,Google Analytics,Google Ads,Shopify,Adobe Suite,Social Media Marketing,Email Marketing,Content Creation,Copywriting,Communication,Problem Solving",65000,Hyderabad
GoHighLevel Specialist,"GoHighLevel,CRM,Workflow Automation,Sales Funnels,Landing Pages,Email Marketing,SMS Marketing,Zapier,Stripe,Twilio,Lead Generation,A/B Testing,Communication,Problem Solving",90000,All cities
Digital AI Marketer,"Google Analytics,Meta Ads Manager,SQL,Excel,Power BI,Tableau,AI Tools,Data Dashboards,Campaign Analytics,Data Digitization,Business Process Automation,Performance Reporting,Communication",100000,All cities
Digital Marketing Intern,"Content Creation,Social Media Marketing,Blogging,Copywriting,Market Research,Communication",25000,Islamabad
Digital Marketing Instructor,"Google Ads,Meta Ads,SEO,Shopify,Canva,Social Media Marketing,Content Marketing,Copywriting,Email Marketing,Freelancing,Branding,Communication,Training",90000,Rawalpindi
Digital Marketing Specialist,"Facebook Ads,Instagram Ads,Google Ads,SEO,Social Media Management,Content Creation,Canva,Copywriting,Campaign Management,Performance Reporting,Lead Generation,Communication",55000,Rawalpindi
Content Marketing Specialist,"SEO,Content Writing,Copywriting,Keyword Research,Social Media Marketing,Email Marketing,CMS,Blog Writing,Landing Page Optimization,Content Strategy,Communication,Research",75000,Lahore
Digital Marketing Specialist,"LinkedIn Marketing,Facebook Ads,Meta Ads Manager,LinkedIn Sales Navigator,Lead Generation,Copywriting,Campaign Management,B2B Marketing,Sales Funnels,Performance Reporting,Communication",75000,Lahore
Graphic Designer,"Canva,HeyGen,Higgsfield,AI Tools,Social Media Design,Marketing Creatives,Visual Storytelling,Brand Consistency,Digital Design,Communication",125000,All cities
Graphic Designer,"Adobe Illustrator,Adobe Photoshop,Adobe InDesign,Adobe Premiere Pro,Canva,PowerPoint,Video Editing,Social Media Design,Brand Guidelines,Visual Identity,Communication",110000,Islamabad
Junior Graphic Designer,"Social Media Design,AI Tools,Branding,Animation,Video Reels,Communication",35000,All cities
Graphic Designer,"Canva,Adobe,Video Editing,Social Media Design,Content Creation,Creative Thinking,Communication",75000,Islamabad
Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Figma,Color Theory,Typography,Social Media Design,Print Design,Digital Design,Branding,Visual Storytelling,Communication",22500,All cities
Thumbnail Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Figma,Composition,Color Theory,Visual Hierarchy,Typography,Visual Storytelling,Brand Identity",160000,Lahore
Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Typography,Color Theory,Layout Design,Infographics,UI Design,Social Media Design,Brand Guidelines,Communication",100000,Lahore
Graphic Designer,"Social Media Design,Branding,Visual Storytelling,Digital Design,Marketing Materials,Creative Thinking,Communication",60000,Karachi
Junior Designer,"Canva,Adobe,Sketching,Design Coordination,Communication,Fabric Knowledge",30000,Lahore
Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Adobe After Effects,Adobe Premiere,HTML,JavaScript,jQuery,MySQL,Communication",70000,Islamabad
Graphic Designer,"Graphic Design Tools,Color Theory,Typography,Layout Design,Video Editing,Animation,Communication,Teamwork",50000,Lahore
Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Typography,Color Theory,Social Media Design,Print Design,Packaging Design,Brand Identity,Presentation Design,Communication",110000,Lahore
Graphic Designer,"Canva,Adobe Photoshop,Adobe Illustrator,Adobe After Effects,CapCut,AI Tools,MidJourney,DALL-E,Firefly,Social Media Design,Video Editing,Digital Design,Communication",80000,Lahore
Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Print Design,Digital Design,Social Media Design,Brand Consistency,Communication,Attention to Detail",70000,Islamabad
Senior SEO Expert,"SEO Strategy, On-Page SEO, Off-Page SEO, Technical SEO, Keyword Research, Competitor Analysis, Backlink Building, Google Search Console, GA4, Ahrefs, SEMrush, Screaming Frog, SEO Audits, Content Optimization, Organic Traffic Growth",200000,Lahore
SEO Expert,"Keyword Research, Competitor Analysis, On-Page SEO, Off-Page SEO, Technical SEO, Meta Tags Optimization, Internal Linking, Backlink Building, Google Analytics, Google Search Console, Ahrefs, SEMrush",55000,All cities
SEO Expert - Marketplace & App,"Marketplace SEO, Mobile App SEO, ASO, Organic Growth, Search Rankings Optimization, Traffic & Conversion Optimization, Web SEO, App Store Optimization",60000,Lahore
Local Off-Page SEO Expert,"Off-Page SEO, Local SEO, Backlink Building, Citation Building, Google Business Profile, GMB Optimization, Guest Posting, Link Outreach, Ahrefs, SEMrush, Moz, Google Search Console, Competitor Backlink Analysis",100000,Lahore
SEO & Local SEO Expert,"SEO Strategy, Local SEO, On-Page SEO, Technical SEO, Google Business Profile, Schema Markup, Citation Management, Link Building, GA4, Looker Studio, SEMrush, Ahrefs, BrightLocal, NAP Consistency, Content Collaboration, Team Mentoring",150000,Lahore
SEO Expert,"On-Page SEO, Off-Page SEO, Technical SEO, Keyword Research, Competitor Analysis, Content Optimization, Link Building, Google Analytics, Google Search Console, Ahrefs, SEMrush, SEO Reporting, Algorithm Updates",115000,Lahore
SEO Expert,"On-Page SEO, Off-Page SEO, Technical SEO, Keyword Research, Competitor Analysis, Link Building, Google Analytics, Google Search Console, Ahrefs, SEMrush, Moz, HTML, CSS, WordPress, Local SEO, International SEO",80000,Rawalpindi
Backlink Expert / Manual Link Builder,"Manual Link Building, White-Hat SEO, Google Stacking, Cloud Stacking, Forum Backlinks, Local Citations, NAP Consistency, Guest Post Outreach, Niche Edits, Profile Backlinks, Ahrefs, SEMrush, Moz, Google Search Console, Anchor Text Optimization, Toxic Link Analysis",65000,All cities
Link Builder Expert - SEO,"Link Building, Off-Page SEO, Keyword Research, Google Analytics, Google Search Console, SEMrush, Ahrefs, Moz, Backlink Campaign Management, Web Analytics, SEO Trends",60000,Lahore
Off-Page SEO Expert / Link Builder,"Off-Page SEO, Link Building, On-Page SEO, Technical SEO, Keyword Research, Competitor Analysis, Meta Tags, Schema, Citations, Google Search Console, Google Analytics, Core Web Vitals, SEO Reporting",45000,Lahore
SEO Intern,"AI Tools, Prompt Engineering, ChatGPT, Copilot, Web Content Optimization, SEO Basics, On-Page SEO, AI Workflows, English Communication",20000,All cities
SEO Off-Page Expert,"Off-Page SEO, On-Page SEO, Content SEO, Conversion Rate Optimization, A/B Testing, KPI Analysis, Web Analytics, SEO Tools, HTML, JavaScript Basics, UX, Personalization, Competitive Benchmarking",45000,Lahore

Data Analyst (Marketing),"SQL, BigQuery, dbt, Looker, Tableau, Excel, A/B Testing, Data Modeling, Statistical Analysis, Descriptive Analytics, Predictive Analytics, Prescriptive Analytics, Data Quality, Dashboard Building, AI-Driven Analytics, LLM, Prompt Engineering, Marketing Analytics, Stakeholder Communication",180000,Karachi
Data Governance Analyst,"Data Governance, Data Management, Policy Analysis, Data Classification, Data Quality, Data Sharing, Metadata Management, Data Stewardship, Regulatory Compliance, Data Protection, Privacy, Policy Documentation, Reporting, Stakeholder Coordination, Information Systems",120000,Islamabad
Executive BI & Analytics,"Business Intelligence, Advanced Analytics, Power BI, Tableau, Qlik, Python, R, SQL, Machine Learning, Data Mining, Clustering, Regression, Classification, Deep Learning, Data Validation, KPI Reporting, Subscriber Analysis, Management Reporting",100000,Islamabad
Data Analyst,"SQL, CRM, Salesforce, Excel, Power BI, Tableau, Pipeline Analytics, Revenue Operations, Sales Operations, Data Governance, Dashboard Building, Forecasting, Query Optimization, Large Dataset Handling, Cross-functional Collaboration",130000,Lahore
Performance Analyst,"SQL, Excel, Google Sheets, Financial Forecasting, Business Review Reporting, KPI Analysis, Performance Auditing, Commercial Analytics, Data Storytelling, Cross-functional Collaboration, Risk Mitigation, Process Automation, Strategy Consulting, Business Operations",160000,Karachi
Data Analyst I,"SQL, Python, R, pandas, NumPy, SciPy, Power BI, Tableau, Looker, Metabase, A/B Testing, EDA, Data Modeling, ETL, BigQuery, Redshift, Snowflake, Git, AI Tools, Data Quality, KPI Reporting, Data Storytelling, Data Warehousing",100000,Lahore
Marketing Data Analyst,"SQL, Snowflake, Data Warehousing, Campaign Analytics, Funnel Analysis, Customer Segmentation, Dashboard Reporting, Data Quality, Query Optimization, Email Performance Analytics, Credit Bureau Data, Waterfall Reporting, Stakeholder Communication",130000,Karachi
Data Analyst,"Power BI, Power Automate, Azure, SQL Server, DAX, DevOps, Git, Data Modeling, ETL, Data Cleaning, Data Quality, Agile, Scrum, Enterprise Data Warehouse, Stakeholder Communication",150000,Islamabad
MIS & Data Analyst,"MS Excel Advanced, Dashboard Development, KPI Tracking, Customer Feedback Analysis, Data Reporting, Data Handling, Cross-functional Collaboration, Analytical Reporting",80000,Karachi
Data Analyst,"Power BI, SQL, Power Query, Excel, PowerPoint, SAP, Salesforce, Data Integration, Data Transformation, Data Modeling, ERP, CRM, Dashboard Development, Multi-market Reporting, Data Quality",120000,Lahore
Data Engineer,"Azure Data Factory, Azure Data Lake Storage, PySpark, SQL, ETL, ELT, Lakehouse Architecture, Medallion Framework, Delta Lake, Azure Databricks, Data Pipelines, Data Quality, Data Governance, Agile, Scrum",180000,All cities
Data Scientist,"Python, pandas, NumPy, scikit-learn, SQL, Machine Learning, Predictive Modeling, A/B Testing, Statistics, Probability, Hypothesis Testing, Dashboard Building, Automated Reporting, AWS, GCP, Azure, Snowflake, Airflow, Spark, Geospatial Analysis, Data Pipelines",200000,Karachi
Data Engineer,"SQL, Python, ETL, ELT, Airflow, Azure Data Factory, AWS Glue, dbt, Snowflake, BigQuery, Synapse, Redshift, Databricks, Star Schema, Snowflake Schema, Kafka, Kinesis, Spark Structured Streaming, S3, ADLS, GCS, Parquet, Data Quality, Data Governance, Data Lineage",180000,Lahore
Software Engineer - Python,"Python, Django, Flask, FastAPI, ReactJS, REST APIs, HTML, CSS, JavaScript, PostgreSQL, MySQL, Git, Docker, CI/CD, Agile, Scrum, Application Security, Performance Optimization",180000,Lahore
Software Engineering Internship,"Software Development, Debugging, Code Documentation, Agile, Stand-ups, Coding Best Practices, Testing, Maintenance",25000,Lahore
Data Analyst,"Data Extraction, Data Cleaning, Database Management, Statistical Analysis, Trend Analysis, Data Reporting, Excel, Predictive Analysis, KPI Tracking, Performance Indicators, Data Systems",80000,Rawalpindi
Frontend Developer,"JavaScript ES6+, HTML5, CSS3, React, React Native, Angular, Vue, Redux, Zustand, Context API, REST APIs, GraphQL, Performance Optimization, Code Splitting, Lazy Loading, CI/CD, Responsive Design, UI/UX, Figma, Mobile Development",180000,All cities
Front-End Developer,"HTML5, CSS3, SASS/SCSS, JavaScript ES6+, jQuery, React.js, Next.js, Laravel Blade, RESTful APIs, Tailwind CSS, Bootstrap, Material UI, Vue.js, Webpack, Vite, Git, SEO, Cross-browser Compatibility, Figma, Adobe Photoshop",120000,Karachi
Front-End / Full-Stack Developer,"Vue.js, React, Angular, JavaScript, HTML, CSS, REST APIs, Asynchronous Programming, Webpack, Gulp, Grunt, Jenkins, CI/CD, Relational Database, NoSQL, SaaS, Security, Performance Optimization",180000,Karachi
Associate Software Engineer - Front End,"HTML5, CSS3, JavaScript, TypeScript, Angular, React, RESTful APIs, RxJS, Bootstrap, Git, npm, yarn, Responsive Design, Cross-browser Compatibility",80000,Karachi
Frontend Developer,"Next.js, Vercel, SEO, SSR, SSG, Schema Markup, Metadata, Figma, Responsive Design, Performance Optimization, Lazy Loading, Image Optimization, Lighthouse, Framer",100000,All cities
Front-End / Full-Stack Developer,"Vue.js, React, Angular, JavaScript, HTML, CSS, REST APIs, Asynchronous Programming, Webpack, Gulp, Grunt, Jenkins, CI/CD, Relational Database, NoSQL, SaaS, Security, Performance Optimization",180000,Islamabad
UI Frontend Developer,"HTML5, CSS3, SCSS, Bootstrap 5, Tailwind CSS, Angular, React.js, Figma, Adobe Photoshop, Git, REST APIs, SEO, Responsive Design, Cross-browser Compatibility",120000,Karachi
Front-End Developer Angular,"Angular, JavaScript, TypeScript, HTML5, CSS3, REST APIs, Git, Responsive Design, Adaptive Design, UI/UX, Code Reviews, Agile, Scrum",130000,Karachi
Frontend Engineer,"React, TypeScript, Redux, React Hooks, Styled Components, React Native, JavaScript ES6+, Component Libraries, UI/UX, Figma, MySQL, Golang, web3, ethers.js",180000,Karachi
Webflow Frontend Developer,"Webflow, HTML, CSS, JavaScript, SEO, Responsive Design, CMS, UI/UX, Cross-browser Compatibility, Performance Optimization",30000,Lahore
Software Engineer Frontend FullStack,"React JS, React Native, HTML, CSS, JavaScript ES6+, TypeScript, Jest, React Test Library, REST APIs, GraphQL, iOS, Android, Monorepo, CI/CD, Agile, Component Libraries",200000,Karachi
Front-End Software Engineer,"HTML, CSS, JavaScript, React, Vue, Next.js, Angular, Responsive Design, UI/UX, Git, REST APIs, Cross-browser Compatibility, Performance Optimization",120000,Islamabad
Junior Web Developer,"HTML, CSS, JavaScript, REST APIs, Responsive Design, Git, Debugging, Performance Optimization, Code Reviews, Agile, Documentation",70000,Lahore
Full Stack Engineer,"Node.js, Vue.js, MySQL, PHP, TypeScript, TypeORM, JavaScript, REST APIs, AWS, Git, CI/CD, OOP, Database Design, Performance Optimization, AI-assisted Development, Code Reviews",180000,Lahore
Backend Developer PHP,"PHP, Laravel, CodeIgniter, Symfony, REST APIs, MySQL, PostgreSQL, Git, CI/CD, OOP, Database Design, Unit Testing, Debugging, Security, Performance Optimization",120000,Lahore
Junior Back End Developer,".NET, C#, ASP.NET, .NET Core, REST APIs, Microservices, SQL Server, Entity Framework, ADO.NET, Dapper, JWT, OAuth, Identity Server, Git, TFS, GitHub, Clean Architecture, React",90000,Islamabad
Backend Engineer,"Node.js, Express, Python, FastAPI, Kafka, PostgreSQL, MongoDB, REST APIs, Microservices, API Gateways, SQL, ORM, Event-Driven Architecture, Cloud-Native, Sagas",100000,Lahore
Backend Engineer,"Python, TypeScript, JavaScript, C#, REST APIs, Microservices, Docker, CI/CD, PostgreSQL, NoSQL, Pub/Sub, Distributed Systems, Cloud Platforms, Caching, Performance Optimization, Unit Testing",130000,Karachi
Backend Developer,".NET Core, Node.js, Java, REST APIs, OAuth2, JWT, MySQL, NoSQL, Message Queues, Event-Driven Architecture, Microservices, Integration Patterns, Git, Debugging, Security",130000,Karachi
Social Media Executive,"Social Media Marketing, Content Strategy, Blog Writing, Newsletter Campaigns, Market Research, Competitor Analysis, Brand Awareness, Presentations, Stakeholder Communication, Microsoft Office, Marketing Tools, Public Speaking",80000,Lahore
Digital Marketing Specialist eCommerce,"Meta Ads, Google Ads, SEO, On-Page Optimization, Content Strategy, Performance Marketing, Retargeting, Funnel Optimization, CAC, ROAS, ROI, CRM, Organic Growth, Campaign Analytics, Budget Management, Landing Page Optimization, A/B Testing",130000,Karachi
Digital Marketing Executive,"SEO, SEM, PPC, Google Ads, LinkedIn Ads, Meta Business Suite, Social Media Marketing, Email Marketing, Mailchimp, HubSpot, Google Analytics, WordPress, Content Creation, Market Research, Competitor Analysis, Canva, Adobe Creative Suite, Graphic Design",100000,Islamabad
Graphic Designer,"Graphic Design, Typography, Layout, Color Theory, Social Media Design, Video Editing, Adobe Creative Suite, AI Tools, Brief Interpretation, Accessibility Design, Inclusive Design, Fast Execution, Feedback Integration",60000,All cities
Creative & Graphic Design Specialist,"MS PowerPoint, MS Word, Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Branding, Proposal Documents, Newsletters, Marketing Collateral, Storyboarding, Visual Design, Video, Animation, Cross-cultural Collaboration",120000,Karachi
Graphic Design Trainee,"Adobe Creative Suite, Photoshop, Canva, Figma, Illustration, Social Media Creatives, Brand Alignment, Visual Design, Campaign Design",30000,Lahore
Graphic Designer,"Adobe Photoshop, Adobe Illustrator, Adobe Creative Suite, Social Media Design, Digital Campaigns, Brand Consistency, Image Retouching, Typography, Layout, Color Theory, Marketing Collaboration",80000,Lahore
SEO Lead,"SEO Strategy, Technical SEO, Programmatic SEO, Core Web Vitals, Crawlability, Structured Data, Site Architecture, Screaming Frog, Google Search Console, Ahrefs, Rank Tracking, Content Gap Analysis, Internal Linking, Automation, Python, AI Tools, Claude Code, Mixpanel, PostHog, PRD Writing, Cross-functional Collaboration, B2B SaaS, Webflow CMS",200000,Karachi
SEO Specialist,"On-Page SEO, Off-Page SEO, Technical SEO, Local SEO, Google Business Profile, Keyword Research, Search Intent Mapping, Content Optimization, AI Search Optimization, Featured Snippets, Citation Building, NAP Consistency, Reputation Management, Ahrefs, SEMrush, GSC, GA4, Site Speed, Indexing, Crawlability",130000,Lahore
SEO Specialist Mid-Level,"Technical SEO, On-Page SEO, Link Building, Keyword Research, Core Web Vitals, Crawl Budget, Structured Data, Site Architecture, JavaScript SEO, Competitor Analysis, SERP Analysis, Google Search Console, GA4, Ahrefs, SEMrush, Screaming Frog, Programmatic SEO, AI Content Workflows, International SEO",150000,Islamabad
SEO Specialist,"SEO Strategy, On-Page SEO, Off-Page SEO, Keyword Research, Content Strategy, Link Building, Social Media Marketing, Web Analytics, Google Analytics, Google AdWords, HTML, CSS, PPC, SEO Copywriting, Team Leadership, Reporting",100000,Rawalpindi


